Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,contrast,scope,lib
prerank,"BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108",0.5816717047839464,1.6029139901312808,0.0070298769771528,0.2979358973945621,0.999,12/24,24.35%,NPAS2;KLF15;NAMPT;NOCT;CARM1;NCOA1;TBL1XR1;SERPINE1;PPARA;CREBBP;SMARCD3;NCOA6,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Signaling By ALK R-HSA-201556,0.5607229511870018,1.602678277205514,0.0135396518375241,0.2918311140789978,0.999,6/26,14.35%,PLCG1;MYC;HIF1A;STAT3;SHC1;JAK3,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364,0.7779696381855125,1.6022776408388824,0.0058027079303675,0.2863942365045025,0.999,3/8,4.46%,CTNNB1;MYC;LEF1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Cytochrome C-Mediated Apoptotic Response R-HSA-111461,0.6915173718922424,1.5970459536577213,0.0255941499085923,0.2950132029056065,0.999,8/11,26.82%,CASP7;APIP;CASP3;XIAP;CASP9;AVEN;CYCS;MAPK1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,NrCAM Interactions R-HSA-447038,-0.7578726777151761,-1.596050204122118,0.0260303687635574,0.6532536300819684,1.0,5/7,18.49%,ANK1;LLGL1;NRCAM;CNTN2;MPP3,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Interleukin-15 Signaling R-HSA-8983432,0.6511142590931088,1.5951886325474194,0.0152380952380952,0.2938513864627917,0.999,6/14,14.35%,STAT5B;STAT3;GRB2;SOS1;SHC1;JAK3,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Sensing Of DNA Double Strand Breaks R-HSA-5693548,0.8141531175609167,1.588701651192228,0.016822429906542,0.3063080274612753,0.999,4/6,12.79%,ATM;RAD50;KAT5;MRE11,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Pentose Phosphate Pathway R-HSA-71336,-0.6554339368548543,-1.5870572711131743,0.0255863539445629,0.6726242046520607,1.0,4/13,19.63%,PHGDH;SHPK;PGLS;TALDO1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Signaling By PDGFR In Disease R-HSA-9671555,0.6000032951198153,1.5849921560566025,0.0226415094339622,0.3109538172356759,0.999,6/18,9.62%,PDGFRA;KDR;STAT3;ETV6;GRB2;SOS1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616,0.5197377729937432,1.5827901568310152,0.0091074681238615,0.3113345222341852,0.999,14/39,17.54%,ATM;RMI2;BARD1;HUS1;RAD50;KAT5;RMI1;DNA2;MRE11;POLR1A;RFC4;RPA3;WRN;RFC2,C9ALS_vs_sALS,ventral_horn_MN,Reactome
